airDate,episodeNumber,id,overview,voteAverage,voteCount
2009-05-07,5,397625,"During a banquet honoring her mother's public service, Leslie tries to convince a local zoning official to support her proposed park project. Meanwhile, Mark and Tom try to meet some ladies.",7.5,16
2009-05-14,6,397626,"Leslie attends what she believes is a business meeting with an elderly local government bigwig, unaware that her mother has secretly set her up on a blind date. Andy plays his first gig since breaking both of his legs in the pit.",7.563,16
2009-09-17,1,397629,"When Leslie decides to marry two penguins to promote the local zoo, she inadvertently causes an uproar when both penguins turn out to be male. Meanwhile, Mark puts Ann in an awkward situation when he asks her to go see a movie.",7.692,13
2009-09-24,2,397627,"While tending to the new community garden, Leslie and Tom discover someone has planted marijuana among the vegetables. In an effort to catch the people responsible, they pull an all-night stakeout. With Leslie's permission, Ann decides to go on a date with Mark.",7.154,13
2009-10-01,3,397642,"Leslie gets to judge a beauty contest, but ends up having conflicting opinions on ""the ideal woman"" with the other judges. While on a date with Mark, Ann learns Andy has been living in the pit.",7.615,13
2009-10-08,4,397636,"Leslie is nervous about her first date with Dave, so Ann takes her on a practice date to help her prepare. Meanwhile, after a local councilman is caught up in a sex scandal, Tom, Ron, April and Mark decide to see who can uncover the worst dirt on each other.",7.923,13
2009-10-15,5,397635,"Leslie plays host to the Parks and Recreation department from Pawnee’s sister city, Boraqua, Venezuela, and is shocked at the cultural differences. Tom becomes an errand boy, and April plays hard to get.",8.154,13
2009-10-22,6,397638,"Leslie, Ann and the rest of the Parks Department volunteer to help the organization KaBOOM! build a playground for a neighboring town. After building an entire playground in one day, Leslie gets frustrated at the lack of progress with the pit, and takes some advice from Mark to cut through the red tape.",7.727,11
2009-10-29,7,397630,"Leslie enlists the help of Dave and Andy in order to catch a local teen vandal. Meanwhile, Ann struggles to make her Halloween party fun, and ends up getting help from an unlikely source.",7.727,11
2009-11-05,8,397628,"Leslie is upset when she learns the library department wants to take over her lot. Making matters worse, the library is run by Ron's ex-wife Tammy, who still has a powerful emotional hold on him. Meanwhile, Andy gets a job in hopes of winning Ann back.",7.818,11
2009-11-12,9,397632,"After one of the murals (""The Spirit of Pawnee"") in City Hall is defaced, Leslie and the Parks Department compete to come up with a new design. Meanwhile, Andy and Ron share an uncomfortable moment at the shoeshine stand.",7.75,12
2009-11-19,10,397639,"Leslie tries to prove she can hang with the guys so she invites herself on Ron’s annual hunting trip, but things don’t go as planned. Meanwhile, April and Andy bond in the office while everyone is away.",7.818,11
2009-12-03,11,397650,"After Leslie finds out that Tom is getting a divorce, the department takes him out on the town to cheer him up. Meanwhile, Andy tries to hustle Mark in a game of pool.",7.545,11
2009-12-10,12,397640,"Leslie designs the Pawnee Winter Wonderland Festival, but has to hide from the press when a meeting with a disgraced Councilman lands her in the middle of a sex scandal. Meanwhile, Ron offers to cover for Leslie for the day, and quickly discovers how much work she really does.",8.182,11
2010-01-14,13,397634,"Ann sets Leslie up on a blind date with a co-worker, which does not go as well as Leslie hoped. An old friend of Ann's makes Mark feel insecure.",7.636,11
2010-01-21,14,397633,"After an amazing date with Justin in Indianapolis, Leslie tries to impress him with a dinner party at her house.",7.545,11
2010-02-04,15,397641,"The Parks Department forms a partnership with a local company to sell energy bars at the parks in Pawnee, but Leslie tries to stop the deal when she discovers how unhealthy the snacks are. Mark reluctantly agrees to help Tom move out of his house.",7.583,12
2010-02-11,16,397631,"When Leslie hears her mom’s story about an old flame, she and her boyfriend Justin track him down and reunite them on Valentine’s Day. Meanwhile, Andy and his band are nervous about playing a gig at the Senior Center.",9.5,2
2010-03-04,17,397637,"Leslie is outraged when Ron wins a “Woman of the Year” award for a project she started. Meanwhile, Tom is desperate to find some money to invest in a local Pawnee club.",7.727,11
2010-03-11,18,397646,"When a possum bites the mayor's dog on a golf course, Leslie is asked to form a task force to catch the pesky animal. Meanwhile, Ron is upset when Mark refuses to bend the rules for him.",7.833,12
2010-03-18,19,397647,"After Jerry gets mugged by a bunch of kids, Leslie meets with the head park ranger in hopes of improving park safety. Meanwhile, everyone tries to be nicer to Jerry once he returns to the office.",7.75,12
2010-03-25,20,397648,"Preparing the Summer Events Catalog, Leslie decides to take Ron and the past directors of the Parks Department out for a picnic lunch. Tom enlists the help of Ann and Mark to pose for the cover photo.",7.5,12
2010-04-29,21,397644,"Ron is furious when April mistakenly schedules a ton of meetings for him. Meanwhile, Leslie fights to preserve a historical landmark.",7.636,11
2010-05-06,22,397643,"Leslie hosts a late-night shift for a local telethon, and lands former Indiana Pacer Detlef Schrempf as a celebrity guest. Meanwhile, Mark has big plans for his relationship with Ann.",7.818,11
2010-05-13,23,397645,"Leslie is disappointed when her new park plans are put on hold by a visit from two state auditors. April has plans for Andy at her birthday party, and Ann tries to piece together a romantic mystery.",7.818,11
2010-05-20,24,397649,"When Ben prevents Leslie from holding a children’s concert, she takes matters into her own hands. Mark makes some big decisions about his life, and Andy gets some unexpected romantic attention.",7.636,11
2011-01-20,1,397651,"Leslie and the Parks Department return to work after three months to discover that the budget crisis still looms. After unsuccessfully trying to have their budget restored by using Ann to charm Chris with a date, Leslie decides to make an all or nothing play by resurrecting the Pawnee Harvest Festival. Meanwhile, Ben restarts the youth basketball league and instates Ron and Andy to coach the only two teams. April returns from a vacation with a new boyfriend.",7.667,9
2011-01-27,2,397652,"While planning for the local Harvest Festival, Leslie is struck with the flu and is forced to go to the hospital. Ron and Andy have a day of male bonding, and Tom hits the spa.",7.409,11
2011-02-03,3,397653,"Leslie wants to bury a time capsule that encapsulates life in Pawnee, but an odd suggestion from a local man causes unforeseen consequences. Andy seeks help from Chris about how to win back April.",7.444,9
2011-02-10,4,397654,"Tom tries to get back at Ron by going out on a date with Ron's ex-wife Tammy, while Leslie tries to protect Ron from falling prey to her charms. Meanwhile, April is assigned to work with Chris.",7.667,9
2011-02-17,5,397655,"While advertising for the Harvest Festival, Ben has to deal with some troubling questions about his past. Meanwhile, Andy continues to try to win April back.",8.0,9
2011-02-24,6,397656,"Ron and Leslie take a road trip to the big city in order to visit Ron's favorite place which happens to be a steakhouse, but Leslie has alternative motives for the trip.",7.556,9
2011-03-17,7,397658,It's make it or break it for the Parks Department at the Harvest Festival which is full of surprises.,8.111,9
2011-03-24,8,397657,"Leslie takes the whole department camping in order to brainstorm new ideas. Meanwhile, Andy attempts a romantic gesture for April, while Ann gets nervous when Chris returns to Pawnee as the new city manager.",7.444,9
2011-04-14,9,397660,"April and Andy host a dinner party for the Parks Department. Meanwhile, Ann tries to move on from Chris at a singles' party.",8.545,11
2011-04-21,10,397659,"Leslie tries an online dating service, but doesn't end up with a stranger as she expects. Also, Chris challenges Ron to a grilling competition as part of his plans to make Pawnee healthier.",7.9,10
2011-04-28,11,397662,"Jerry’s contribution to Leslie’s community art show causes a stir. Ben moves in with April and Andy and attempts to teach them how to be adults. Meanwhile, Leslie is frustrated by Chris and his interoffice dating rules.",8.4,10
2011-05-05,12,397664,"Leslie's ex-best friend, Lindsay Carlisle Shay, launches an attack on Pawnee, banning residents from visiting a nearby park in the neighboring city of Eagleton with a large fence, causing Leslie to go to war with Eagleton. Meanwhile, everyone finds out that it is Ron's birthday, a fact that he went to extreme lengths to conceal.",7.778,9
2011-05-12,13,397663,"When Leslie tries to get Ann a job at city hall, her lukewarm reaction causes their first-ever fight. Tom invites the entire department to the Snakehole Lounge to help him promote his new alcohol, ""Snake Juice.""",7.667,9
2011-05-12,14,397661,"When Chris sends Leslie and Ben on a trip to Indianapolis, Leslie is afraid she won't be able to deny her feelings for him. Ron teaches a young student about his views on government. Meanwhile, Andy gets his feelings hurt by April after playing Tom's new game.",8.0,8
2011-05-19,15,397665,Everyone in the office is unhappy when Chris decides to make some big changes in the parks department -- especially Tom who starts to question his career choices. Leslie is caught off guard when Ben has a meeting with her mom.,8.111,9
2011-05-19,16,397666,"Leslie and the parks team put together a memorial service for a dearly departed friend. Meanwhile, Tom makes a big life decision, while Chris reacts badly to a health problem.",7.556,9
2011-09-22,1,397672,"Leslie is torn between Ben and her dreams of running for public office, while Ron braces himself for the arrival of his first wife, the original Tammy.",7.455,11
2011-09-29,2,397673,"Ron's first ex-wife, Tammy One, reenters his life and tries to control his every move. Meanwhile, Ben helps Tom balance the books at his new company, and Ann makes a PSA, with help from Chris.",7.909,11
2011-10-06,3,397675,Leslie's book about Pawnee comes out just in time for her campaign. Ann tries to bond with Ron and April.,7.455,11
2011-10-13,4,397674,"Ron takes his boys-only troop of Pawnee Rangers into the wild. Not wanting the girls to feel left out, Leslie also takes her troop of Pawnee Goddesses on an adventure weekend. Meanwhile, a reluctant Ben joins Tom and Donna for a day of relaxation, and Chris spends some time with Jerry.",7.5,10
2011-10-27,5,397676,Andy and April host a Halloween bash at their house. Tom emcees an event for Leslie's campaign. Andy and April receive an unusual wedding present from Ron and Ann.,7.364,11
2011-11-03,6,397677,"A local Pawnee group predicts the end of days, causing chaos in the Parks department.",7.545,11
2011-11-10,7,397678,"Leslie enlists the help of Ben, Andy and April to host a Model U.N. for Pawnee Central High School. Chris asks Ann for her advice on love when a date cancels on him. Meanwhile, Ron struggles to find a replacement for Tom.",7.545,11
2011-11-17,8,397679,"Leslie uses her new tourist attraction as a way to spend more time with Ben. Meanwhile, Ron  and April encourage Andy to go to college, and Chris tasks Tom and Jerry with revamping the Parks and Rec logo.",7.6,10
2011-12-01,9,397681,Leslie has to face an ethics committee about her secret relationship with Ben after they come clean to Chris.,7.3,10
2011-12-08,10,397680,"Unable to get work done from inside the Parks Department, Leslie forms a citizen action group and fights from the outside. Meanwhile, everyone in the office brainstorms ideas for what to get Leslie for Christmas.",7.2,10
2012-01-12,11,397683,"Leslie enlists everyone's help in staging an attention-getting event. Ben takes up a new hobby, while April and Andy adopt a pet.",7.3,10
2012-01-19,12,397684,"Faced with a tough new opponent, Leslie and Ben disagree on the content of her first campaign ad. Ron is very uncomfortable when Chris tries to befriend him, while Andy and April make a trip to the doctor.",7.2,10
2012-01-26,13,397682,"Leslie and Ben host a bowling night after receiving feedback about Leslie's campaign. April, Chris, and Jerry hold a competition to see who can raise the most funds.",7.5,10
2012-02-02,14,397685,"Leslie works to find Ann a Valentine's date. Ron helps Ben with a scavenger hunt, and Chris becomes depressed over his love life.",7.3,10
2012-02-16,15,397687,"While trying to get an endorsement from the Chief of Police, Leslie and Ben awkwardly run into Leslie's old flame, Dave. Meanwhile, Andy and the rest of the office work on a theme song for Leslie's campaign.",7.6,10
2012-02-23,16,397686,"Leslie realizes that the department has forgotten Jerry's birthday and decides to throw a party for him at a special location. Meanwhile, Tom is flabbergasted when he finds out Ann doesn't share his taste in music.",6.7,10
2012-03-01,17,397689,"Leslie and Ben are caught off guard when her opponent Bobby Newport hires a powerful campaign manager from Washington. Chris forces Ron to start interviewing replacements for Leslie when work starts falling through the cracks, and an unlikely officemate solves a challenging problem.",7.2,10
2012-03-08,18,397688,Leslie and Ben are thrilled when Buddy Wood wants to interview Leslie for his Indianapolis talkshow. April and Ron prep Andy for his final exam in his Women’s Studies course.,6.9,10
2012-04-19,19,397690,"Leslie discovers that the Parks Department budget is about to be cut, and she later meets the City Council member she is running to replace. Chris and Ron visit a meditation center.",7.273,11
2012-04-26,20,397691,"Leslie goes toe-to-toe with Bobby Newport in a debate. Ann, Tom, and Chris work in the media spin room, while Ron goes the extra mile to save a party for Leslie's donors.",8.182,11
2012-05-03,21,397692,"An important person in Pawnee dies while Leslie is on a bus tour for the final day of her campaign. Meanwhile Andy investigates a security threat, and Chris finds a cure for his depression.",7.3,10
2012-05-10,22,397693,"It's election day in Pawnee, and Leslie and Bobby Newport are separated by a razor-thin margin. While everyone waits with Leslie for the race to be called, they ponder their futures, and their new opportunities.",7.6,10
2012-09-20,1,397694,"Leslie and Andy visit Ben and April at their new jobs in Washington D.C., and Leslie feels overwhelmed by the city -- especially after meeting two of her idols. Meanwhile, Ron throws a ""thank you"" barbeque for the entire Parks and Recreation staff.",7.091,11
2012-09-27,2,397695,"Leslie decides to wage war on obesity in Pawnee in her first mission as city councilor by passing a city-wide soda tax. Meanwhile, Andy tries to get in shape for his police-entrance exam, and Ben struggles to connect with the interns in his office.",7.4,10
2012-10-04,3,397696,Leslie helps a local swim team get more practice time by working on a new law that extends the hours at the community pool; Ron finds himself filling a pothole for a local woman (Lucy Lawless) as part of Chris' new plan to solve citizens' problems around the city; April and Ben take a road trip to Pawnee.,7.0,10
2012-10-18,4,397698,"An STD outbreak amongst Pawnee seniors prompts Leslie to conduct a sex education class. Meanwhile, Ron helps Tom adjust to life without technology after his gadgets are taken away, and Ben and April meet Congressman Murray for the first time.",7.3,9
2012-10-25,5,397699,"A new job offer for Ben causes Leslie to contemplates their future. Meanwhile, Ron and Andy take Diane's girls out trick-or-treating, and Tom searches for a new business idea.",7.9,9
2012-11-08,6,397697,Leslie is nervous about meeting Ben's divorced parents. Tom prepares to pitch his new business to Ron with Jean-Ralphio's help. Chris rides an emotional rollercoaster.,7.1,9
2012-11-15,7,397700,"Leslie gets upset when April tries to get Lot 48 made into a dog park. Meanwhile, Tom enlists Ben’s help as he tries to launch his new business venture, and Andy hones his crime scene investigation skills.",7.2,8
2012-11-29,8,397701,"Leslie and Ben meet with an architect from their rival town, Eagleton, about designs for a new park.",7.1,8
2012-12-06,9,397702,"Ron, Diane, and Leslie attend a wood working awards dinner after one of Ron's handcrafted chairs is nominated, but the happy occasion is threatened by the arrival of Tammy II. Meanwhile, Jerry hosts a holiday party at his home with his wife, and some of his friends are shocked to find they were not invited.",7.5,8
2013-01-17,10,397703,Ben and Leslie's rival bachelor and bachelorette parties each take on a very different tune.,7.1,7
2013-01-24,11,397708,"Leslie is at a loss for words after the speech she prepared for a special event is stolen. Meanwhile, Ben begins his new job at the Sweetums Charity Foundation, and Ann summons the courage to ask an important question.",7.3,7
2013-02-07,12,397704,"Ann tries to get to know herself as Leslie meddles in one of her biggest life decisions. Meanwhile, things go south when Ben enlists the guys to help choose a caterer for the wedding.",7.3,7
2013-02-14,13,397706,"Leslie and Ben organize a black tie gala to raise money for their park, but their plans are derailed when a city-wide emergency response drill is called. Meanwhile, Andy prepares to take his Police Academy Exam and Ron fills in for Leslie on Pawnee Today.",7.6,7
2013-02-21,14,397705,"Leslie and Ben are getting married, and have to cram months of planning into two hours. Meanwhile, Ron's temper gets him in trouble.",8.6,7
2013-02-21,15,397710,Leslie's speech she prepared for a special event is stolen. Ben begins his new job at the Sweetums Charity Foundation. Ann summons the courage to ask an important question.,7.3,7
2013-03-14,16,397709,"Leslie is determined to help a local video store stay in business, while Chris offers Tom advice on how to deal with a difficult employee. Elsewhere, Ann resorts to blackmail to get April to be her friend.",7.0,6
2013-04-04,17,397711,Leslie accompanies Ben on a trip to his hometown which has offered him a key to the city. Ron deals with a lawsuit filed against him by Councilman Jamm. Ann and Chris take a parenting compatibility quiz.,7.1,7
2013-04-11,18,397712,"Leslie decides to give the Animal Control Department a much-needed makeover. Ann tries to get Ron the medical attention he needs. Ben, Tom, and Andy recruit donors for their charity foundation.",7.7,7
2013-04-18,19,397713,Leslie works to get rid of outdated laws from the original town charter. April and Ron receive management training from Chris. Ben finds himself in a bidding war against Ann to win a present for Leslie.,7.1,7
2013-04-18,20,397714,"When Leslie finds out Jerry is retiring, she struggles with the proper way to commemorate the occasion. Chris and Ann prepare to have a baby together. Tom worries he will become the office punching bag once Jerry leaves.",7.2,6
2013-04-25,21,397715,Leslie deems Ron's budget-cut proposals unacceptable. Andy and Ben celebrate a big donation made to their charity. Ann tries to solve Tom's girlfriend troubles.,6.7,7
2013-05-02,22,397707,Leslie celebrates her first year as a city councilwoman. Retired Special Agent Burt Macklin is recalled to action. April gets some life-changing news. Tom debates a big business opportunity.,7.2,6
2013-09-26,1,397716,"Leslie wins an award from an international Women in Government organization, and travels to London with Ben, Andy, April and Ron to accept it.",8.2,13
2013-09-26,2,967014,"Leslie wins an award from an international Women in Government organization, and travels to London with Ben, Andy, April, and Ron to accept it. Tom hunts down the mysterious businessman who is trying to put Rent-a-Swag out of business, while Ann and Chris settle into the next phase of their relationship.",8.2,10
2013-10-03,3,397717,"Ben, Leslie and Chris meet with Eagleton city councilor Ingrid de Forest to discuss financial matters; Ann brings April to vet school orientation; Ron tries to get off the grid.",7.6,12
2013-10-10,4,397718,"Leslie pairs up the Pawnee Parks employees with their Eagleton counterparts. Meanwhile Ben and Chris reunite for an accounting project, and Ann reveals her plans for the future.",7.4,12
2013-10-17,5,397719,"Leslie tries to calm a minor scandal that gets blown out of proportion. Tom tries to impress a new love interest, while Ben convinces Ron to prepare a will.",7.8,12
2013-11-14,6,397720,"Leslie throws Ben a birthday bash but is forced to leave early for an emergency late-night filibuster. Tom tries to make some memories with his new girlfriend, Ron and Donna go hunting. April reconnects with Andy.",7.6,12
2013-11-14,7,967015,"Leslie prepares a haunted house with Ben, Ann and Chris for Halloween on the day of the recall vote. Meanwhile, Tom fears the end of Rent-A-Swag and persuades Ron to help save his business.",6.8,12
2013-11-21,8,968086,"Leslie tries to complete some of her biggest city council goals, like hosting an NFL Play 60 event with the Indianapolis Colts, and trying to add fluoride to Pawnee’s drinking water. Meanwhile, Chris and Ron attempt to bond while building cribs for their future children.",7.4,13
2013-11-21,9,968334,"Leslie faces off with Councilman Jamm; Ben gets a new hobby; Tom, April and Donna help Ron sell his cabin.",7.5,13
2014-01-09,10,969980,"Leslie comes to terms with her last day in office and plans for the future with Ben. Chris and Ann find out the sex of their child, Andy comes home from London, and Tom looks to the future.",7.3,13
2014-01-16,11,970336,"Leslie and Ben both face new challenges on the first day of new jobs. Donna, April and Andy play a prank on Ben, while Tom prepares for a big presentation. Meanwhile Ann and Chris contemplate taking a big leap together.",7.4,13
2014-01-23,12,970527,"Leslie fights with Ben over questionable sales techniques at the local farmers market. Ann searches for a way to vent about the annoying aspects of pregnancy, while April supports Andy in a new creative venture.",7.4,13
2014-01-30,13,970780,"On Ann and Chris's last night in Pawnee, Leslie throws a grand farewell party and attempts to fulfill one last promise. Meanwhile, Tom, Ben, Ron and Andy struggle to find the perfect going away gift for Chris.",7.9,13
2014-02-27,14,971846,"Ben attempts to surprise Leslie with a special anniversary gift. Tom and Adam try to help Leslie bring positive light to the Pawnee-Eagleton merger, while April asserts her new authority as Donna’s boss.",7.6,12
2014-03-06,15,971991,Leslie's efforts to take down the wall separating Eagleton and Pawnee yield unexpected results; Ben and Tom meet with possible sponsors for the concert; Ron finds a new hobby.,7.7,12
2014-03-13,16,972807,"Leslie aims to create a new town slogan, but runs afoul of local shock jocks. Andy scouts bands to play the Unity Concert and discovers an interesting secret about Ron, while Tom looks for a restaurant locale with Donna and April.",7.7,12
2014-03-20,17,972808,"Leslie throws a hasty Galentine’s Day in an attempt to find a replacement for Ann. Tom and Ben look to finalize a deal on tents for the Unity Concert, while Ron finds himself looking after Andy.",7.2,12
2014-04-03,18,973398,"Leslie helps organize the high school's Senior Prom, and battles with Ron over the future employment of a bright high school senior. Andy takes an unwilling April as his date, and Tom is tasked with DJ'ing and agrees to let Ben help.",7.2,12
2014-04-10,19,973780,"In the midst of flu season, a sick Leslie and Andy struggle to book performers for the Unity Concert. Meanwhile, Tom heads to a wine competition in search of a sommelier for his new restaurant, and Ben seeks drunken help from Ron with a personal problem.",8.1,13
2014-04-17,20,974114,"Leslie and Ben run a charity auction to raise funds for the unity concert. April steps in to manage Andy's schedule, while Donna asks Ron for help with her ex-boyfriend.",7.8,13
2014-04-24,21,974342,"Leslie, Ben, and Andy head to San Francisco for a National Parks Conference. Tom opens his restaurant, Ron has another run-in with his ex-wife Tammy 2, Andy lives a rock and roll fantasy, and Leslie makes a huge decision about her future.",8.0,10
2014-04-24,22,974424,"Leslie, Ben, and Andy head to San Francisco for a National Parks Conference. Tom opens his restaurant, Ron has another run-in with his ex-wife Tammy 2, Andy lives a rock and roll fantasy, and Leslie makes a huge decision about her future.",8.4,11
2015-01-13,1,1031228,"Leslie launches a competition with tech company Gryzzl for a large parcel of land, which she wants to turn into a National Park. April and Andy try to regain their spontaneity. Ben is recognized at a Bicentennial gala, where Tom delivers a speech in his honor.",6.9,14
2015-01-13,2,1031229,"Leslie and Ron briefly put aside their feud to help old foe Jeremy Jamm escape the clutches of the diabolical Tammy 2. Ben vows to help April discover her true passion in life, while Andy and Tom travel to Chicago.",7.4,15
2015-01-20,3,1032738,"Leslie's team tries to strengthen her case that the Newport land should be turned into a National Park. Ron's team, fighting back, brings on a celebrity as a minority owner.",7.0,14
2015-01-20,4,1036416,Leslie and Ron attempt to work out their differences.,8.9,16
2015-01-27,5,1036417,"Leslie and Ben suspect that Gryzzl is invading the privacy of Pawnee residents. April addresses the new Parks and Rec interns, while Tom helps Andy renegotiate a contract.",7.5,15
2015-01-27,6,1036418,Leslie holds a rally in an attempt to keep JJ's Diner from closing. Tom surprises Donna with the ultimate pre-wedding gift.,7.5,15
2015-02-03,7,1038009,"Donna and Joe tie the knot, while April attempts to keep the wedding running smoothly. Ron creates an awkward situation between Tom and Lucy. Jen Barkley arrives at Ben and Leslie’s house with an interesting opportunity.",7.7,15
2015-02-10,8,1038010,"While Leslie and April take a business trip to Washington, April wrestles with her future. Back in Pawnee, Andy tries to find April the perfect job.",8.0,15
2015-02-10,9,1038011,Leslie and Ben come under fire for participating in an old Pawnee tradition. April and Ron go on a scavenger hunt. Donna and Garry stroll down memory lane.,7.7,14
2015-02-17,10,1038012,"On the last episode of Andy’s TV show, his friends wish him luck with whatever comes next.",7.7,15
2015-02-17,11,1038013,"Ben and April conduct a series of interviews, while Andy and Donna help Ron adjust to a life change.",7.6,15
2015-02-24,12,1038014,"The Parks gang completes one last task together, before saying goodbye to Pawnee.",8.8,11
2015-02-24,13,1038015,"The Parks gang completes one last task together, before saying goodbye to Pawnee.",8.9,13
