character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Kari,5e9afa474a4bfc001ed4b992,595,False,0,2606043,Acting,Lindsey Sims-Lewis,Lindsey Sims-Lewis,0.6,/utgieN7QWUmuQ59ll2fUpQgSGjo.jpg,915554,1,3
Prostitute,5e9afa5a4a4bfc0023d4b94c,596,False,1,77740,Acting,Spice Williams-Crosby,Spice Williams-Crosby,1.236,/vE0MAnHzB3c3wl3S96zLVOlCA8d.jpg,915554,1,3
Dr. Rossi,52fbca31c3a36819bf45035d,14,False,1,139309,Acting,Mary Elizabeth Ellis,Mary Elizabeth Ellis,1.153,/9T98RZCLFuUV5oXqxJHGiw5AuPB.jpg,915552,1,4
Mrs. Patterson,52fbca65c3a3683dc02bbaea,15,False,0,1214418,Acting,Becky Thyre,Becky Thyre,0.6,/51O4XIt9w11gwLEMj6CHutaursq.jpg,915552,1,4
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,915552,1,4
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,915552,1,4
Uniformed Cop,5e9afa85eb79c200275b3e57,597,False,2,155353,Acting,Wayne Lopez,Wayne Lopez,0.6,/kIv8K6sBhlOz016RlLKc8WyzmS4.jpg,915552,1,4
Purse Snatcher,5e9afa92d18fb9001b8ebf82,598,False,0,1772628,Acting,Martinez,Martinez,1.094,/7lGCVIzDsY7778QZc9of25akQzm.jpg,915552,1,4
Sue,5e9afa99e22d28001b5f9039,599,False,0,1297137,Acting,Amanda Reed,Amanda Reed,0.6,/92vz1bxHY6wRNoNxEvbcLz0wAc5.jpg,915552,1,4
Gabe,5e9afaa1fd6fa1001f01dca7,600,False,2,209045,Acting,Houston Rhines,Houston Rhines,0.6,/6w8fBYKUDVvzGA4nKkQbZ1uwmMo.jpg,915552,1,4
Doorman,52fbca81c3a3682ce4267ae1,17,False,2,28637,Acting,Andy Richter,Andy Richter,1.673,/qazhLkyKOsPmdOQSaUWWbbUjs9q.jpg,915555,1,5
Martha,52fbca99c3a36819b14cfa2f,18,False,1,42291,Acting,Jacquie Barnbrook,Jacquie Barnbrook,0.604,/qyNGOhlREezRo6G31Vr6wguq4PJ.jpg,915555,1,5
Estelle,52fbcaa1c3a36819d5484340,19,False,1,156917,Acting,Annie Korzen,Annie Korzen,0.982,/l6wbeiOQwoq2gFnQ7XzT58m5LXd.jpg,915555,1,5
Detective 'The Vulture' Pembroke,52fbcad7c3a368092123ad1e,19,False,2,68763,Acting,Dean Winters,Dean Winters,3.034,/4kwzxdILxtCfo33Z8EJQdlAc1e3.jpg,915555,1,5
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,915555,1,5
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,915555,1,5
Uniformed Cop,5e9afb05d18fb9001d8eb8a9,601,False,0,1067814,Acting,Jerome Ro Brooks,Jerome Ro Brooks,1.214,/duokqhRZLTEzedIyghlWEDnscAQ.jpg,915555,1,5
Calista,5e9afb10fd6fa1002401e021,602,False,1,1363735,Acting,Makeda Declet,Makeda Declet,0.648,/qkr5SuhdMLOxBUlon7Z6PuK9cDB.jpg,915555,1,5
Sister Steve,52fbcb01c3a3683dc02bcb33,20,False,2,55425,Acting,John Ross Bowie,John Ross Bowie,1.251,/XAv1RilHZu7qiGGIOgikrLgHeD.jpg,968146,1,6
Uncle Bob,52fbcb11c3a3682e7f24a14e,21,False,2,167139,Acting,Phil Abrams,Phil Abrams,0.69,/e6iHjKAYJjS7rYvAQU2eR9uoS9L.jpg,968146,1,6
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,968146,1,6
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,968146,1,6
Sexy Robot,5e9b12afe22d2800225f98f9,603,False,0,2606154,Acting,Christina Brown,Christina Brown,0.6,/jcYLxf1A5gymNqa69BCRKYL28wR.jpg,968146,1,6
Banana Perp,5e9b12b8eec4f3001cac7469,604,False,2,179851,Acting,Kanin Howell,Kanin Howell,2.641,/wdRn90FomDwVTsi7nl6S2ukYI7y.jpg,968146,1,6
Tarzan,5e9b12c3310325001cc70219,605,False,0,2015982,Acting,Justin McCully,Justin McCully,0.6,/cDxhLGVHLSYAvR2UosLLJrlOzYw.jpg,968146,1,6
Royal Baby #3,5e9b12d9310325001ac6fff3,606,False,2,1323454,Acting,Nick Nicotera,Nick Nicotera,0.611,/8DVRj7jG4Q1qL7EmjJdKv8fat2U.jpg,968146,1,6
Raggedy Ann,5e9b12e3fd6fa1001d01f8e9,607,False,0,1528112,Acting,Kat Palardy,Kat Palardy,0.6,/sg1ctex4l8Nbf6gf9tYAlPtEKGl.jpg,968146,1,6
John Perpton,5e9b12f5fd6fa1001f01f6cf,609,False,0,1398836,Acting,Jimmy Smagula,Jimmy Smagula,1.052,/eJCPG4KqGQezTNdN4LLzFjHPHOz.jpg,968146,1,6
Young Jake,5e9b12ece22d2800225f99dd,614,False,2,84904,Acting,Miles Platt,Miles Platt,0.6,/lKQWG5SBOO243m6Hx8eLqsk3CZC.jpg,968146,1,6
Dustin Whitman,52fbcb1fc3a36863af2afd7a,22,False,2,484359,Acting,Kid Cudi,Kid Cudi,0.979,/qa4RwK9mP81EHc7kQnG54tXkpVo.jpg,967877,1,7
Gil,52fbcb47925141039921f87a,23,False,2,74124,Acting,Andrew Friedman,Andrew Friedman,1.629,/es7Jr3ka0ysY1a8d04KjJ3X1CEN.jpg,967877,1,7
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,967877,1,7
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,967877,1,7
Zeke,52fbcb4d925141039921fc30,441,False,2,74931,Acting,Jamal Duff,Jamal Duff,1.719,/dvfiLVDeE2N79ZeU29htU4xyYfl.jpg,967877,1,7
Officer Lou,52fbcb559251410de927d45b,615,False,2,1143952,Acting,Paul Mabon,Paul Mabon,1.62,/f1vrCMrJaka9s44Ib8dYuHIp9wp.jpg,967877,1,7
Jimmy Brogan,52fbcb6692514108f4287408,248,False,2,825,Acting,Stacy Keach,Stacy Keach,4.988,/ArZIr5uWnAuCQ1rWFfpviSoK6iN.jpg,967880,1,8
Jerry Grundhaven,52fbcb6f9251417052265f8e,248,False,2,59405,Acting,Jerry Minor,Jerry Minor,1.623,/bUql01yhsXYj9PCQWbehru08Ek5.jpg,967880,1,8
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,967880,1,8
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,967880,1,8
Perp,5e9b134ae22d28001d5fae9a,610,False,2,1569152,Acting,Anthony L. Fernandez,Anthony L. Fernandez,0.6,/3Lw7KMQP8rqItr3oARR2mbDhaeG.jpg,967880,1,8
Kid,5e9b1353d18fb9001d8ed832,611,False,0,2493329,Acting,Destiny Fernandez,Destiny Fernandez,0.6,/fbZbNIvHI4mtPpWa4qiMJ6NgF0Q.jpg,967880,1,8
Judge Constance Copeland,5e9b1360076ce800242cb529,612,False,1,1213599,Acting,Joyce Guy,Joyce Guy,1.275,/9KoD9o0ieRkimvEkIriQ6HlwNHL.jpg,967880,1,8
Sergeant,5e9b136ad18fb900228edb6a,613,False,0,2606160,Acting,Doug Morency,Doug Morency,0.6,/bK82ibVPz7KqneZ9VShYLptyQ80.jpg,967880,1,8
Young Jake,5e9b12ece22d2800225f99dd,614,False,2,84904,Acting,Miles Platt,Miles Platt,0.6,/lKQWG5SBOO243m6Hx8eLqsk3CZC.jpg,967880,1,8
Mrs. Stratton,5e9b138be22d28001b5fa692,614,False,1,204920,Acting,K.T. Thangavelu,K.T. Thangavelu,0.6,/niwSxU4BbptNKBPdiWjVDNEfHYI.jpg,967880,1,8
Fire Marshall Boone,52ef2693760ee339f02d09ae,222,False,2,10872,Acting,Patton Oswalt,Patton Oswalt,5.162,/ljQvjbPmcIAl205Lb2Mu4CW8WO7.jpg,967879,1,9
Sal,5d46712f2d1e40219bbff47d,224,False,2,75309,Acting,Joey Diaz,Joey Diaz,1.566,/pLWM7fQoqbbNui1vf7PKE0jdlm2.jpg,967879,1,9
Mario,5d46713e2d1e407086be6bd4,225,False,2,168829,Acting,Bruno Amato,Bruno Amato,0.855,/ra6YT2M2wh1ykjnw1c1xWx0oHQc.jpg,967879,1,9
Lance Legweak,5d4671530f2fbd0fa0ef1af4,226,False,2,69672,Writing,Christian Ford,Christian Ford,0.6,,967879,1,9
Sergeant Crawley,5d4671660f2fbd1a9aed6d0a,227,False,2,105014,Acting,Andy Forrest,Andy Forrest,0.6,/oSwU26hkcTPUYKytFa0NqoQUnju.jpg,967879,1,9
Thomas,5d467171a0be280455a365b7,228,False,0,94104,Acting,Landall Goolsby,Landall Goolsby,0.6,/aEF2gDr30qK8nqK16LD1uaeyyhh.jpg,967879,1,9
Lorenzo,5d467182a0be280455a365da,229,False,0,2378275,Acting,Ron Haralson,Ron Haralson,0.6,,967879,1,9
Simon,5d4671910f2fbd7864eef6d5,230,False,0,1368017,Acting,Timothy Hornor,Timothy Hornor,1.38,/s0s3wyhmZer0vX5MEyO3StJom76.jpg,967879,1,9
Gino,5d46719c0f2fbd0fa0ef1b3f,231,False,2,1651146,Acting,Patrick Robert Smith,Patrick Robert Smith,0.65,/jULIMYeulCKUcrZ4ve9PGXlwlYo.jpg,967879,1,9
Uniformed Cop,5d4671aa0f2fbd0fafeeffee,232,False,2,968597,Acting,Ayo Sorrells,Ayo Sorrells,1.4,/mpnbexAPJ9JSAyd6cHbHE7L8oLH.jpg,967879,1,9
Melanie,5d4671bba0be2816c5a1c5c4,233,False,1,45386,Acting,Mary Stein,Mary Stein,0.6,/vrV6Fqwu8jby0DXzg3ldNL7qCjE.jpg,967879,1,9
Scott,5d4671c5a0be280014a481c8,234,False,0,2378276,Acting,Wayne Temple,Wayne Temple,0.6,/eoDkOfrrt3MY6lHiaD9JWs5k14E.jpg,967879,1,9
Kevin,5d4671d10f2fbd0fa0ef1b86,235,False,2,963109,Acting,Tim Trobec,Tim Trobec,0.6,/puLufsPuWbIgb6mU7Be6x7hLVBf.jpg,967879,1,9
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,967879,1,9
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,967879,1,9
Savant - Corey Park,5798e29cc3a3682bec0010e5,369,False,2,76412,Acting,Allen Evangelista,Allen Evangelista,1.96,/cCvHB3KvlbC3ihmnsAw14vSqdfQ.jpg,967879,1,9
Bartender,5d46c3490f2fbd0fa0efc8fe,236,False,2,1237238,Acting,Kevin Dorff,Kevin Dorff,1.131,/yrI78HuKy1KzJ2zTnP6ujMtyHrQ.jpg,968723,1,10
Donny,5d46c3640f2fbd1a9aee1b3d,237,False,0,1292092,Acting,Michael Marc Friedman,Michael Marc Friedman,0.648,/z9Nr7p9G1Vqq10eeczT1CdhAlhS.jpg,968723,1,10
Louie,5d46c3810f2fbd0fa0efc96f,238,False,2,1446156,Acting,Frank Cappello,Frank Cappello,0.98,/h0Ljxc551HuiFUhH7DDIeVPxdWW.jpg,968723,1,10
Andrea,5d46c3990f2fbd0fafefc65e,239,False,1,96881,Acting,Catherine Carlen,Catherine Carlen,1.809,/1DYAATDaUZkqrnlCdEeLy4GhoUG.jpg,968723,1,10
George,5d46c3ab2d1e40219bc0a22a,240,False,2,1228847,Acting,Barry Cullison,Barry Cullison,0.98,/kTpqPyMhMr2sGotlR8xkUqFfcrc.jpg,968723,1,10
Rosa’s Niece,5d46c3d22d1e40349ac1c234,241,False,0,1891899,Acting,Isabella Day,Isabella Day,0.98,/gIZtCNCCpdTKcF0UZ7rlNse1cpM.jpg,968723,1,10
Woman at Mahjong,5d46c3f7a0be280454a3f7cf,242,False,1,979045,Acting,Esther Kwan,Esther Kwan,2.102,/iaSK302CTLzw7vzqDz2OQtNtdMK.jpg,968723,1,10
Woman at Mahjong,5d46c40a2d1e403b46c1ab4b,243,False,1,155349,Acting,Cici Lau,Cici Lau,0.6,/ntkvQa0AQcjU5vrEXghgEdk8NRT.jpg,968723,1,10
Woman at Mahjong,5d46c41a2d1e403b46c1ab7f,244,False,1,61116,Acting,Alice Lo,Alice Lo,1.021,/3efIdOY3skfP3emDe9MS6H1XFrF.jpg,968723,1,10
Rosa’s Sister,5d46c43d2d1e40219bc0a344,245,False,1,1450442,Acting,Arianna Ortiz,Arianna Ortiz,0.6,/8Yn9GacGJNFUCT2BRc4uBEOcPfW.jpg,968723,1,10
Richmond,5d46c45ba0be28652fa4ecaf,246,False,2,2063745,Acting,Robert Paul Taylor,Robert Paul Taylor,0.6,/9Lyvl5ptXYfb00xoKMFeFLyGVYQ.jpg,968723,1,10
Lookout Fred,5d46c47da0be281274a17dd7,247,False,0,2378523,Acting,Phoenix Wong,Phoenix Wong,0.6,/xtRXJBNdAy4ksuGJeGDb2eixpCW.jpg,968723,1,10
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,968723,1,10
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,968723,1,10
Hillary,5d4825932d1e405083c03220,246,False,1,1219121,Acting,Jamie Denbo,Jamie Denbo,0.6,/kDJDWm4VyChlUv58wNhS5H50Rp7.jpg,968799,1,11
Elaine,5d4825abc1e56e63d167661c,247,False,1,2028647,Acting,Liz Benoit,Liz Benoit,0.6,/30hzudtXpPY5sEUOJvWKVtAlzpV.jpg,968799,1,11
Big Santa,5d48262c2d1e403b44c4f08a,249,False,2,176814,Acting,Will McLaughlin,Will McLaughlin,1.411,/vYS0UBEBHse0EzPlQEx8T0ZIhBx.jpg,968799,1,11
Young Haimes,5d48264ec1e56e001567d952,250,False,0,1574289,Acting,Brendan Norman,Brendan Norman,0.6,/nB6wgIgGK0KGZRSppQ1F33irxbX.jpg,968799,1,11
Little Santa,5d48266c2d1e405083c03535,251,False,2,77597,Acting,Ric Sarabia,Ric Sarabia,1.153,/xe3c0wmVXLebRML6wdN5qcyqaz5.jpg,968799,1,11
Paul Haimes,5d48268c2d1e405082c019e6,252,False,2,228702,Acting,Kirk Bovill,Kirk Bovill,1.384,/k1GFLQkInVK0Z9oF6EqiJ4C9JNk.jpg,968799,1,11
Deputy Chief Gerber,5d4825e9c1e56e001367d41d,261,False,2,143382,Acting,Mark Berry,Mark Berry,0.6,/5wIweghMr2TFX1M73vGC56sIBrj.jpg,968799,1,11
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,968799,1,11
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,968799,1,11
Diane,5d49706f2d1e402bbabdb180,253,False,1,3420,Acting,Armelia McQueen,Armelia McQueen,1.009,/Yu8n7teVyVZ72Q9KlgJUrpptOP.jpg,970251,1,12
Eyewitness with Hat,5d4970aa028f1474ea01f8b3,255,False,2,1174141,Acting,David Terrell,David Terrell,0.6,/v5lKzXtLFUMDHp4h4sZJMiaYMYC.jpg,970251,1,12
Norman “The Barber” Lee,5d4970c5028f146f5d004860,256,False,2,1610943,Acting,London Kim,London Kim,0.6,/heqwAk3lBMndxxguEAziABrekHn.jpg,970251,1,12
Jeff,5d4970d7028f140012020569,257,False,2,1072743,Acting,Jake Lockett,Jake Lockett,1.4,/kJR1ZkYBgLAUZWGIubK0XjDy3lj.jpg,970251,1,12
Mechanic,5d497107a0be285129a16e5e,258,False,2,2380254,Acting,Andre L. Walker,Andre L. Walker,0.6,,970251,1,12
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,970251,1,12
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,970251,1,12
Tattoo Guy,5e9b14964a4bfc0023d4d87e,614,False,0,2399265,Acting,Jose Chavez,Jose Chavez,0.6,/6YwoA5P79UvsXjBQFuB3ut8OWP0.jpg,970251,1,12
Doug Judy,5cc6415ec3a368219b8275a9,769,False,2,64342,Acting,Craig Robinson,Craig Robinson,6.149,/vieAPkgyYKHN6NyIIRj2Cvne8zT.jpg,970251,1,12
Delivery Guy,5d497176a0be281e5da116a0,260,False,2,240946,Acting,Jess Allen,Jess Allen,0.84,/pzKh0ruZgS8cs1Nh8QbvFDs0qow.jpg,970379,1,13
Deputy Chief Gerber,5d4825e9c1e56e001367d41d,261,False,2,143382,Acting,Mark Berry,Mark Berry,0.6,/5wIweghMr2TFX1M73vGC56sIBrj.jpg,970379,1,13
Doctor Nash,5d4971a1417aaf0bec291021,261,False,2,2172585,Acting,Mel Cowan,Mel Cowan,0.6,/vXaMEwcaPmDKk10bqMXGE1Aua93.jpg,970379,1,13
Perp,5d4971d8417aaf00132911ea,262,False,2,2380257,Acting,Matthew Isaac Harris,Matthew Isaac Harris,0.6,/4rFskLjw9LmZZbJqNKkJL0vK2jY.jpg,970379,1,13
Photographer,5d4971f7028f144b8ffff1b7,263,False,0,2380258,Acting,Armand Vasquez,Armand Vasquez,0.6,/i7Cl2voIOKN35XJrDp24C5QKveZ.jpg,970379,1,13
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,970379,1,13
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,970379,1,13
Sharon Jeffords,5d49715c417aaf0012291119,441,False,1,1214164,Acting,Merrin Dungey,Merrin Dungey,2.261,/7MZ69k1UwOd1FEQJyiNx9dANu0a.jpg,970379,1,13
Vladimir,5d4c043f48333a00141ad2ff,264,False,2,1268072,Acting,Joseph Aviel,Joseph Aviel,1.708,/hYf3iMSrhlQ2nJepAKwsL1C4MoK.jpg,970643,1,14
Spencer,5d4c0496c68b6900140f1ffd,265,,,,,,,,,970643,1,14
Leo Sporm,5d4c04b148333a00151ad117,266,False,2,1214063,Acting,Eddie Pepitone,Eddie Pepitone,1.62,/wP39nqElulcTc1Er62SC7ILGXdN.jpg,970643,1,14
Brandon Jacoby,5d4c04cb4dc34a0013631935,267,False,2,92617,Acting,Matthew Willig,Matthew Willig,1.398,/46nLaoxRvXpx8ohmG7hx2Qq00Sr.jpg,970643,1,14
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,970643,1,14
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,970643,1,14
Himself,52ef264a760ee334bc1e6086,1,False,2,19292,Acting,Adam Sandler,Adam Sandler,14.034,/gLkLCsQdwDDPabRhKPB25nGtKwS.jpg,970922,1,15
Melipnos,52ef2662760ee30b6702dcaa,2,False,2,61110,Acting,Fred Armisen,Fred Armisen,3.592,/nLMCRlt0MV2uu4KPbDPDNsPWfBG.jpg,970922,1,15
Himself,52ef26fe760ee30b6702e4ec,6,False,2,975260,Acting,Joe Theismann,Joe Theismann,0.98,/91GRFFcW10PWbSjEKwS483Hc6Kw.jpg,970922,1,15
Detective 'The Vulture' Pembroke,52fbcad7c3a368092123ad1e,19,False,2,68763,Acting,Dean Winters,Dean Winters,3.034,/4kwzxdILxtCfo33Z8EJQdlAc1e3.jpg,970922,1,15
Fire Marshall Boone,52ef2693760ee339f02d09ae,222,False,2,10872,Acting,Patton Oswalt,Patton Oswalt,5.162,/ljQvjbPmcIAl205Lb2Mu4CW8WO7.jpg,970922,1,15
Gus Wimbledon,5d4c06014dc34a0010633222,268,False,0,156862,Acting,Danny Belrose,Danny Belrose,0.6,/r5ANS7Gzt5SANpX7tchLGCqkl0k.jpg,970922,1,15
Irwin,5d4c067c4dc34a0010633319,269,False,2,1954565,Acting,Steve Brown,Steve Brown,0.6,/y7Mh2JeKkXsZxWs9IZ2lsKmbiGp.jpg,970922,1,15
Dante,5d4c068e4dc34a0012632853,270,False,2,146329,Acting,Nate Bynum,Nate Bynum,0.6,/dbx9Ls4UHYfMs8xrnk3FHyEzNsA.jpg,970922,1,15
Perp,5d4c06a548333a00111ad356,271,False,0,2381582,Acting,Jason Parham,Jason Parham,0.6,,970922,1,15
Angela D’Beverly,5d4c06c64dc34a001463327e,272,False,1,98811,Acting,Nicole Pulliam,Nicole Pulliam,0.94,/XcJAw0P7bPE9ET52P4fZ2hdokk.jpg,970922,1,15
Bill Voss,5d4c06d9c68b6900130f1b04,273,False,2,9996,Acting,Sean Whalen,Sean Whalen,2.965,/nUPHcRagVWhH21mIS4Qdeoclhr5.jpg,970922,1,15
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,970922,1,15
