airDate,episodeNumber,id,overview,voteAverage,voteCount
2017-01-05,10,1238862,"Eleanor makes a surprising personal discovery. Meanwhile, Michael tasks an indecisive Chidi with coming to an important decision and Jianyu makes a big announcement.",7.667,27
2017-01-12,11,1252234,"Eleanor and Tahani hatch a plan while Michael makes a startling discovery. Meanwhile, Chidi confides in Eleanor after learning some interesting news.",7.462,26
2017-01-19,12,1255845,"With the help of Chidi and Tahani, Michael faces his biggest challenge yet. Meanwhile, Eleanor, Jianyu and Janet are faced with a monumental decision.",7.714,28
2017-01-19,13,1255846,Eleanor and her pals contemplate their fates.,8.714,28
2017-09-20,1,1343101,"Having had their memories erased by ambitious master architect Michael, Eleanor, Chidi, Tahani and Jason again settle into the Good Place, unaware of what has previously transpired...except that Eleanor discovers the one clue she had left for herself and attempts to piece things together.",7.4,24
2017-09-28,2,1366208,"Michael continues to work out the kinks in his grand plan. Meanwhile, Eleanor stumbles across a secret.",7.5,22
2017-10-05,3,1366209,"Michael approaches things from a new angle. Eleanor, Chidi, Tahani and Jason struggle to make a collective decision.",7.2,21
2017-10-12,4,1371788,Tahani throws a dinner party to impress. Eleanor and Jason both have to lend a hand when things don't go as planned.,7.3,19
2017-10-19,5,1371807,"Chidi and Eleanor tackle a famous ethical dilemma, leading to a conflict with Michael. Meanwhile, Tahani harbors a secret and confides in Janet.",7.8,21
2017-10-26,6,1379271,"When the Neighborhood experiences a small glitch, Michael has to resolve the issue with Janet before it gets out of control.",7.2,20
2017-11-02,7,1379276,"Janet creates a big problem for Michael. Meanwhile, Eleanor lets Chidi  in on a secret, and Jason puts Tahani in a difficult position.",7.5,20
2018-01-04,8,1389172,"Michael receives a surprise visitor. Meanwhile, Eleanor, Chidi, Tahani and Jason attempt to solve a riddle.",7.6,21
2018-01-11,9,1407504,"Michael finds himself in a bind. Meanwhile, Eleanor sparks an idea that has Chidi, Tahani, Jason and even Janet laying their feelings on the line.",7.5,22
2018-01-18,10,1417425,"Eleanor, Chidi, Tahani, Janet, and Jason head to a destination that may have lasting implications.",8.0,22
2018-01-25,11,1417426,"Eleanor, Chidi, Tahani, and Jason consider just how much they have (or have not) improved. Michael is left to deal with the consequences of his recent actions.",7.9,22
2018-02-01,12,1417427,Michael makes a plea. Eleanor looks to take the high road. Michael tries to pull a rabbit out of a hat.,8.1,22
2018-09-27,1,1510891,"Michael intervenes in the near-death accidents of Eleanor, Chidi, Tahani and Jason on Earth, in hopes that a second chance at life allows them to become better versions of themselves.",8.0,19
2018-10-04,2,1574791,Michael's grand scheme hits an unexpected snag and forces him to take drastic measures.,7.1,17
2018-10-11,3,1586227,A surprising announcement from one of the humans threatens to dissolve the group.,7.2,17
2018-10-18,4,1586228,The group explores the three main branches of ethical thought.,7.9,17
2018-10-25,5,1590077,Jason visits with some people from his past while Chidi gets help in resolving a problem.,7.2,16
2018-11-01,6,1591871,"Eleanor makes a startling discovery that tests her resolve, Tahani looks to make amends and Janet does some bonding.",6.9,17
2018-11-08,7,1593084,Eleanor recalls some forgotten events from her past.,7.9,17
2018-11-15,8,1593085,Michael and Janet visit the person they believe to be the blueprint for how to live a good life on Earth; Eleanor turns to Tahani for advice.,7.6,16
2018-12-06,9,1593086,"While Eleanor and the gang contend with an intense out-of-body experience, Michael hatches a plan with Janet's help.",8.2,15
2019-01-10,10,1624957,"Michael's resolve is put to the test. Meanwhile, Jason wrestles with his feelings and Chidi surprises Eleanor.",7.5,14
2019-01-17,11,1664109,Michael arranges an important meeting and Janet makes a reconnection.,7.6,14
2019-01-24,12,1664110,Michael's crisis forces Eleanor to assume the title of the neighborhood architect. Tahani makes a discovery about the new humans.,7.9,14
2019-09-26,1,1879380,"With Eleanor assuming the role of the architect, the group adapts to the challenges facing them when four test subjects inhabit a new neighborhood under their supervision.",6.5,10
2019-10-03,2,1938962,"Eleanor, Michael, Janet and Tahani have their hands full when the new residents begin to show their true colors. Jason receives some unsettling news.",6.8,8
2019-10-10,3,1939845,Michael and Eleanor discover something troubling and turn to an unusual source for help. Tahani lends her expertise to assist with one of the new residents.,6.8,9
2019-10-17,4,1945236,Uncertainty abounds when an unexpected visitor arrives.,6.9,8
2019-10-24,5,1954743,Michael and Jason hatch a plan. Eleanor learns firsthand the difficulties of running the neighborhood.,6.5,8
2019-10-31,6,1954744,One of the new residents creates a division in the ranks.,6.333,9
2019-11-07,7,1964746,"On the last day of the experiment, Chidi is faced with one final ethical dilemma.",6.8,8
2019-11-14,8,1972661,The group awaits the Judge's final decision on the fate of human existence.,7.5,8
2019-11-21,9,1978272,"In an attempt to plan a better future, Chidi considers his past.",7.8,8
2020-01-09,10,1993068,The group works to negotiate an afterlife plan with Shawn and the judge.,7.3,3
2020-01-16,11,2043897,Michael runs some tests and Chidi gets some good advice from Jason.,7.2,4
2020-01-23,12,2043898,The group makes some new friends.,7.3,3
2020-01-30,13,2043899,"Various conversations occur, between various groups of people.",9.5,4
